1	3
2	5
3	3
4	1
5	4
6	6
7	2
8	5
9	4
10	6
11	1
12	6
13	4
14	5
15	3
16	5
17	5
18	6
19	3
20	6
21	5
22	3
23	6
24	2
25	2
26	5
27	1
28	5
29	6
30	6
31	2
32	6
33	6
34	2
35	4
36	3
37	6
38	5
39	5
40	6
41	6
42	1
43	5
44	2
45	3
46	2
47	1
48	2
49	1
50	5
51	3
52	4
53	6
54	2
55	2
56	6
57	3
58	5
59	6
60	5
61	3
62	2
63	1
64	4
65	2
66	4
67	1
68	6
69	6
70	2
71	2
72	6
73	4
74	4
75	3
76	5
77	1
78	4
79	1
80	3
81	2
82	5
83	1
84	2
85	2
86	6
87	1
88	6
89	2
90	1
91	6
92	5
93	1
94	1
95	1
96	2
97	4
98	6
99	4
100	6
101	5
102	2
103	1
104	2
105	4
106	5
107	4
108	5
109	6
110	5
111	3
112	3
113	3
114	3
115	5
116	2
117	3
118	1
119	1
120	2
121	2
122	2
123	3
124	2
125	4
126	3
127	1
128	2
129	1
130	2
131	4
132	5
133	4
134	5
135	6
136	1
137	5
138	6
139	6
140	1
141	5
142	4
143	5
144	3
145	1
146	4
147	1
148	1
149	1
150	5
151	4
152	6
153	6
154	4
155	5
156	6
157	1
158	5
159	2
160	5
161	2
162	6
163	5
164	5
165	5
166	5
167	3
168	1
169	2
170	2
171	6
172	1
173	5
174	4
175	6
176	5
177	6
178	4
179	6
180	1
181	3
182	3
183	3
184	4
185	4
186	4
187	6
188	3
189	2
190	6
191	6
192	3
193	1
194	5
195	3
196	1
197	3
198	3
199	3
200	5
201	1
202	2
203	6
204	3
205	6
206	6
207	4
208	6
209	3
210	2
211	4
212	1
213	5
214	2
215	5
216	4
217	1
218	5
219	5
220	4
221	5
222	5
223	1
224	6
225	4
226	2
227	6
228	2
229	6
230	4
231	4
232	4
233	4
234	5
235	6
236	3
237	3
238	1
239	3
240	3
241	4
242	6
243	5
244	5
245	1
246	2
247	5
248	4
249	2
250	6
251	5
252	6
253	3
254	6
255	5
256	4
257	4
258	3
259	6
260	5
261	4
262	2
263	1
264	1
265	2
266	3
267	6
268	2
269	6
270	6
271	3
272	3
273	4
274	3
275	6
276	4
277	1
278	3
279	6
280	3
281	2
282	1
283	2
284	4
285	5
286	4
287	1
288	3
289	4
290	6
291	4
292	3
293	2
294	2
295	5
296	6
297	6
298	1
299	2
300	4
301	2
302	4
303	1
304	5
305	6
306	4
307	2
308	4
309	4
310	3
311	3
312	6
313	3
314	4
315	6
316	2
317	6
318	5
319	6
320	1
321	6
322	6
323	1
324	6
325	2
326	6
327	3
328	5
329	3
330	1
331	2
332	6
333	5
334	2
335	1
336	3
337	2
338	5
339	1
340	3
341	2
342	1
343	2
344	6
345	2
346	4
347	2
348	1
349	3
350	5
351	5
352	4
353	4
354	5
355	6
356	3
357	4
358	6
359	1
360	5
361	2
362	6
363	4
364	5
365	2
366	6
367	4
368	3
369	4
370	5
371	4
372	1
373	3
374	6
375	3
376	4
377	1
378	2
379	2
380	3
381	5
382	5
383	6
384	4
385	2
386	5
387	1
388	1
389	6
390	3
391	1
392	5
393	2
394	5
395	1
396	1
397	6
398	3
399	6
400	4
401	1
402	5
403	5
404	4
405	1
406	5
407	3
408	2
409	1
410	1
411	3
412	6
413	1
414	5
415	1
416	3
417	1
418	4
419	4
420	6
421	6
422	5
423	4
424	1
425	6
426	3
427	6
428	5
429	1
430	4
431	5
432	2
433	1
434	3
435	5
436	6
437	5
438	4
439	6
440	4
441	2
442	3
443	5
444	1
445	2
446	5
447	5
448	1
449	4
450	1
451	3
452	5
453	2
454	4
455	3
456	2
457	6
458	5
459	2
460	6
461	3
462	3
463	1
464	5
465	2
466	5
467	6
468	5
469	3
470	1
471	1
472	5
473	1
474	1
475	2
476	1
477	1
478	6
479	2
480	1
481	6
482	3
483	1
484	3
485	2
486	6
487	2
488	4
489	1
490	2
491	3
492	5
493	1
494	3
495	6
496	6
497	6
498	3
499	1
500	2
501	4
502	1
503	2
504	4
505	2
506	6
507	2
508	4
509	4
510	5
511	5
512	6
513	4
514	3
515	2
516	4
517	3
518	1
519	3
520	3
521	2
522	4
523	3
524	6
525	3
526	3
527	6
528	5
529	5
530	4
531	1
532	6
533	2
534	3
535	4
536	5
537	4
538	3
539	3
540	4
541	3
542	5
543	1
544	6
545	6
546	1
547	4
548	6
549	3
550	3
551	3
552	2
553	2
554	4
555	5
556	1
557	3
558	1
559	2
560	3
561	3
562	1
563	3
564	2
565	5
566	5
567	1
568	6
569	5
570	1
571	2
572	3
573	2
574	5
575	1
576	1
577	2
578	6
579	4
580	6
581	1
582	2
583	2
584	5
585	5
586	3
587	6
588	5
589	4
590	4
591	2
592	3
593	1
594	6
595	1
596	6
597	6
598	2
599	5
600	3
601	6
602	2
603	1
604	1
605	3
606	6
607	1
608	4
609	4
610	2
611	6
612	4
613	1
614	4
615	3
616	1
617	3
618	4
619	5
620	5
621	4
622	2
623	2
624	5
625	5
626	3
627	5
628	4
629	6
630	5
631	2
632	5
633	3
634	5
635	1
636	5
637	4
638	2
639	2
640	2
